,PDAIEUR LX Equity,EXCRISA LX Equity,REYLSEB LX Equity
2023-11-03,0.008718546333930599,0.049653959458246744,-0.31405050768446746
2023-11-07,0.010154514585315053,0.05007832125160133,-0.3152393576667081
2023-11-08,0.010383936535996069,0.04979635474177049,-0.31345153801629844
2023-11-09,0.009347628496808853,0.04937905644427878,-0.3133328426052042
2023-11-10,0.010582101045219963,0.050570040562230086,-0.32005395245316576
2023-11-14,0.01018892294352212,0.05166383271504734,-0.33638843698354737
2023-11-15,0.009686390811771728,0.05167409147979165,-0.3367355160549186
2023-11-16,0.010234694439044383,0.051591171282980734,-0.3357095298544789
2023-11-17,0.01057230841069502,0.04896192481061562,-0.33152420475825223
2023-11-21,0.006768890849255018,0.051558200756438445,-0.33502049147142876
2023-11-22,0.00727098578451797,0.05283482632098592,-0.330397153630329
2023-11-23,0.010404490393381162,0.05313142202522048,-0.32636776787950633
2023-11-24,0.010485158850958215,0.04983014880874328,-0.3256013744611208
2023-11-28,0.010518698280366529,0.04962975017032244,-0.32552552544689994
2023-11-29,0.010643542579442755,0.048687467048521484,-0.3241793332437257
2023-11-30,0.010289751233358931,0.04964827492791422,-0.3246772630858334
2023-12-01,0.014166826858512125,0.0483441951225056,-0.30953459895340835
2023-12-05,0.012951866819861145,0.052973452098875246,-0.3093136929284882
2023-12-06,0.013034346231262383,0.05211788121352324,-0.31046374391063114
2023-12-07,0.01320026079845977,0.05262480157583493,-0.3113042493305258
2023-12-08,0.01608880864801686,0.0491740531237054,-0.31474710533231803
2023-12-12,0.015418118423991576,0.05178362309517062,-0.3193023935909232
2023-12-13,0.014508320490931589,0.05211344613444763,-0.3222279091733437
2023-12-14,0.012588147907561966,0.05758505204793282,-0.3309183376486083
2023-12-15,0.014852536580678238,0.056025458790337386,-0.33000151880883594
2023-12-19,0.015119048033524176,0.05663314991406753,-0.3300393124441488
2023-12-20,0.014958421337909767,0.05486993120443197,-0.33057888866655766
2023-12-21,0.014966183632616538,0.05337778370034816,-0.33055742807797583
2023-12-22,0.015325535317540879,0.05484457370380457,-0.3291616309589964
2023-12-28,0.01510594373862431,0.05176357180599287,-0.32417490797691134
2023-12-29,0.01474270052674247,0.05296695743689859,-0.3220524178799442
2024-01-03,0.016319155571790037,0.05314481317314456,-0.3361434966273163
2024-01-04,0.015466385796425114,0.05297475203074412,-0.34464843567030834
2024-01-05,0.018574337687182908,0.052606984409215504,-0.35186205919026425
2024-01-09,0.018208085353316233,0.052256463735852424,-0.36134884181704796
2024-01-10,0.019504979203094023,0.05035844041957896,-0.37046402473853923
2024-01-11,0.021355662574818093,0.050867081739165654,-0.37925842665096143
2024-01-12,0.026456117337504508,0.04891709424448866,-0.37588035594591557
2024-01-16,0.027664922905189827,0.050443203981767874,-0.3723748496668784
2024-01-17,0.024608833784441238,0.049338559338555806,-0.39199959075148605
2024-01-18,0.02624422682130075,0.05018150771813841,-0.40731828129106534
2024-01-19,0.03282715010383011,0.04608768808351528,-0.4071108220716916
2024-01-23,0.037831096113490316,0.04574439932824082,-0.40206549196255004
2024-01-24,0.03800897985774945,0.049004104740848,-0.4022931728154437
2024-01-25,0.04049122185999873,0.04932782175695853,-0.397194434827447
2024-01-26,0.03877472159160887,0.04748039562320484,-0.40021049022871397
2024-01-30,0.038769265952496426,0.0466282981424631,-0.403117212202518
2024-01-31,0.04142950731872728,0.05122519962874404,-0.403460554160919
2024-02-01,0.04163979369205063,0.0465827787778117,-0.4040540975810113
2024-02-02,0.042289002233197856,0.048767659650598046,-0.4028908367540127
2024-02-06,0.03971972681662716,0.04797555775654141,-0.40149023608594747
2024-02-07,0.03895711071644192,0.05459066365918148,-0.40198903747527837
2024-02-08,0.039921015977573256,0.054233957642267724,-0.40381610112747135
2024-02-09,0.04427257556822024,0.05321038509009829,-0.4087847896447927
2024-02-13,0.043956209976865654,0.0560636294409517,-0.4040505449393574
2024-02-14,0.04498013384353122,0.05665403972052659,-0.4030167139576755
2024-02-15,0.04465933925536035,0.05763857215408826,-0.4027192251061079
2024-02-16,0.044653707873385476,0.058689625571281635,-0.4068896547871031
2024-02-20,0.045056296691434995,0.05910616685438617,-0.40080049438531573
2024-02-21,0.04691771758666802,0.05962455086529657,-0.39983557512449086
2024-02-22,0.04887238604252771,0.06385242945087787,-0.3993409805273668
2024-02-23,0.05580706323024349,0.06246382233250101,-0.36692264414162024
2024-02-27,0.05618671684615165,0.06299372917104239,-0.3716749783790472
2024-02-28,0.055026524135084194,0.06338793952707071,-0.3813766828598475
2024-02-29,0.05307017653326533,0.06331601222405457,-0.3748577268351573
2024-03-01,0.05311333958165948,0.0640716935420182,-0.3736875922683107
2024-03-05,0.0521490780490956,0.06360773420945319,-0.3787135994178878
2024-03-06,0.05255050066705956,0.062331026819836696,-0.3827803904882653
2024-03-07,0.053595907427537524,0.06526574387537735,-0.38152421661547425
2024-03-08,0.053337851512334916,0.06369649938815544,-0.37660261207716805
2024-03-12,0.053139271665415856,0.06354971722562558,-0.37271377212362033
2024-03-13,0.05327824717209035,0.06627595707239946,-0.37292134020897083
2024-03-14,0.04916055240874223,0.06423964598329165,-0.37412857956892753
2024-03-15,0.04585982968815971,0.06598674302725194,-0.3816570624131119
2024-03-19,0.04543096036830595,0.06344371677081337,-0.38180576353717277
2024-03-20,0.04471541352985391,0.06257065038572163,-0.3809735630906732
2024-03-21,0.04801851456213799,0.061443483919924075,-0.37593582989050156
2024-03-22,0.049995501310630394,0.060645525957693944,-0.37729296168495463
2024-03-26,0.049607961881554336,0.05980265391728196,-0.37659951104535466
2024-03-27,0.04627164013414211,0.05949423033481427,-0.37254748078436567
2024-03-28,0.046478541638572644,0.059859898898672825,-0.37255520854219404
2024-04-03,0.027393709597866762,0.06082209819331557,-0.3967042674762944
2024-04-04,0.03277112289092555,0.06145418637425797,-0.39721077259599286
2024-04-05,0.03425076156595668,0.06357827232182568,-0.39889241953419574
2024-04-09,0.031197009885523173,0.06098278245958687,-0.40702425050198165
2024-04-10,0.029964577471088404,0.05974558743572677,-0.40694228563918894
2024-04-11,0.02807875411550087,0.057638116551517946,-0.4076223849500872
2024-04-12,0.029189480462707532,0.057358015898589215,-0.40940648510653505
2024-04-16,0.045795255189296155,0.05544707652206335,-0.4008087616282055
2024-04-17,0.04814604282681724,0.05557662488137471,-0.403829855302391
2024-04-18,0.04710651690706588,0.0580869817985579,-0.3960520274339758
2024-04-19,0.046332574619184386,0.05922533938516138,-0.3794078384753818
2024-04-23,0.046213375807772746,0.05705146583720559,-0.379100252520356
2024-04-24,0.04348990194844049,0.059126334106824226,-0.38080387974762236
2024-04-25,0.04578295882940434,0.06149354186439729,-0.3780746604951677
2024-04-26,0.05065639781332987,0.057165524650352253,-0.36367359428708035
2024-04-30,0.05008935520055523,0.05598218811656179,-0.3570962117559649
2024-05-03,0.04717151006157182,0.055397748655446895,-0.35729208436702464
2024-05-07,0.05275156079602856,0.0628306279597593,-0.36922223329866344
2024-05-08,0.053179210487160504,0.06355486055115556,-0.37023643295698405
2024-05-09,,0.0634917553023926,
2024-05-10,,0.06450395189310493,
2024-05-14,0.050795155200405166,0.0682459108568135,-0.35043765696526763
2024-05-15,0.05302240567834724,0.0776994054267848,-0.35320095495509196
2024-05-16,0.052603869958037196,0.07808776950990397,-0.352595963935709
2024-05-17,0.05316542800504134,0.07883949177642365,-0.355949397594443
2024-05-21,,0.07960374485602244,
2024-05-22,0.05346939302588763,0.07874726815782083,-0.3554502915246108
2024-05-23,0.05317528288677328,0.07976590219438527,-0.35738421755728517
2024-05-24,0.05321536966010517,0.08079760309780475,-0.35785016379882734
2024-05-28,0.0523067523444385,0.08122854316709037,-0.3540810375736043
2024-05-29,0.051023014190392194,0.07842032853990638,-0.3287596962275378
2024-05-30,0.048836989178340784,0.08039396626310268,-0.3288117832712283
2024-05-31,0.04864125038592059,0.07892181723352448,-0.3280341257249407
2024-06-04,0.05001134492648891,0.08005228891004283,-0.3269030772702405
2024-06-05,0.045501370240906724,0.08356264084128871,-0.3345816352471524
2024-06-06,0.04537523939573141,0.08562766309978327,-0.33226293081099406
2024-06-07,0.04515652183603629,0.08486948370949131,-0.32919120413112124
2024-06-11,0.047350005231275916,0.08529390142775402,-0.3269934564663453
2024-06-12,0.04857944851536283,0.09022356679433968,-0.31923829804811193
2024-06-13,0.04695608533627837,0.09286924798562887,-0.3122808318618755
2024-06-14,0.04558565649614697,0.08963861110519947,-0.3039254564538771
2024-06-18,0.04795674074684393,0.08946369816441123,-0.29836741788923743
2024-06-19,0.04765181063041559,0.09087711213184066,-0.2982184569644094
2024-06-20,0.04560236046959109,0.09168534349229764,-0.29780638962430733
2024-06-21,0.045920112448476755,0.09274886395366615,-0.2907719351001693
2024-06-25,0.049539727677659656,0.09310867226073968,-0.2873738901575983
2024-06-26,0.04914281325145462,0.0886251334908851,-0.29164818893282707
2024-06-27,0.05096687336691382,0.08732223082923651,-0.2870284506696868
2024-06-28,0.04859842128720961,0.08500143728156113,-0.285806457221714
2024-07-02,0.04831044427956368,0.08489343925176444,-0.2867488957591257
2024-07-03,0.05074708780469691,0.09068615413620196,-0.2871976566300615
2024-07-04,0.05369581488477663,0.0885833376607732,-0.28683115492083094
2024-07-05,0.05246237824209175,0.09038162216754929,-0.28619041041307725
2024-07-09,0.04530553188193697,0.09123622099723473,-0.29400795880786806
2024-07-10,0.04541862806157465,0.0911020482516936,-0.2959150423809754
2024-07-11,0.046932357862958886,0.09218849314680626,-0.2998402283672753
2024-07-12,0.044358485671457774,0.09222732991514632,-0.3134319270166699
2024-07-16,0.04498433846321721,0.09209590053693992,-0.31593682140056184
2024-07-17,0.0480263347370503,0.0927522809942948,-0.3118537657438655
2024-07-18,0.05149940822327786,0.09322700758441603,-0.3215767294714203
2024-07-19,0.05313514147774073,0.09419425055156413,-0.32681746134925577
2024-07-23,0.05351073143609301,0.09491488198576335,-0.3230252570061058
2024-07-24,0.05509226402101617,0.09576239004217736,-0.31807404525655053
2024-07-25,0.05945863888927223,0.09638240109042012,-0.3016428636995118
2024-07-26,0.05754145220832413,0.09840674387931293,-0.2988444806722394
2024-07-30,0.05739474576013465,0.09792335226076969,-0.2921104841316658
2024-07-31,0.05856452668136425,0.09847649564200589,-0.29337303940873405
2024-08-01,0.05240972851083379,0.10012541977018258,-0.2841063554516056
2024-08-02,0.07268327533740128,0.09830169456297567,-0.2675198041387005
2024-08-06,0.07550368309155384,0.09877164354619065,-0.267410116564331
2024-08-07,0.08128200334702979,0.09926489469810851,-0.26398827548462317
2024-08-08,0.07955319738238645,0.0991960272910524,-0.2665046917838724
2024-08-09,0.08199547996229617,0.10122633490817458,-0.26322562086030704
2024-08-13,0.08276684251452848,0.10185441165620074,-0.2635609412913197
2024-08-14,0.08400678213899833,0.10073822431321408,-0.2631220306379611
2024-08-15,,0.10569504040813446,
2024-08-16,,0.10878671183116545,
2024-08-20,0.08606902365177505,0.10805875580095281,-0.2723756927124569
2024-08-21,0.08547283506163672,0.10601513022645577,-0.27062266714097766
2024-08-22,0.086129377493982,0.10863832576820483,-0.26752828060398637
2024-08-23,0.08456667440074152,0.10752601923637459,-0.2668949257429307
2024-08-27,0.08467806667000927,0.10645306392098033,-0.2687716183037349
2024-08-28,0.08624572843830706,0.10537099467055064,-0.27040577502153085
2024-08-29,0.08246045263300628,0.10673455597355039,-0.27056983825581177
2024-08-30,0.08133379973133055,0.10721509744705214,-0.2697498122961831
2024-09-03,0.07985173539589523,0.10813079892161415,-0.27010791199082085
2024-09-04,0.07971747852481498,0.10922095467448734,-0.27366812296268067
2024-09-05,0.07579254642699901,0.10981256376384599,-0.2714717599300244
2024-09-06,0.07530571828101174,0.11026192776261197,-0.27829202628904487
2024-09-10,0.07550622925792515,0.10908383941227266,-0.2857016759182984
2024-09-11,0.07597706155014133,0.10920212957474781,-0.28627341869072664
2024-09-12,0.07634045530474054,0.10934212189525416,-0.2846348324160553
2024-09-13,0.07652096453488828,0.10954674353093959,-0.28662926974884395
2024-09-17,0.07855797701254322,0.11024319629786328,-0.2885480919374282
2024-09-18,0.07975633761163561,0.11356965712372878,-0.29139761946905535
2024-09-19,0.07802627920181136,0.11521037068781861,-0.28642239246251144
2024-09-20,0.07261645324303281,0.11710088270993324,-0.2923559129662522
2024-09-24,0.07093599022805736,0.11687714719840242,-0.29671896637054285
2024-09-25,0.06987330661938189,0.11809024701149498,-0.29674192004884836
2024-09-26,0.07113274893106843,0.12154198964406965,-0.2982504560679847
2024-09-27,0.07274875837183756,0.12174213591067304,-0.3082367150923364
2024-10-01,0.07292195956999681,0.12317265424622816,-0.30953625806420354
2024-10-02,0.07191604474354069,0.12381503404175175,-0.3102212533480735
2024-10-03,0.07445053136879032,0.12369655268303259,-0.3061040461212943
2024-10-04,0.07580843522809183,0.12311262291711017,-0.31253544801306615
2024-10-08,0.0766879634033217,0.11657650182423764,-0.31810678368290934
2024-10-09,0.07385470107051104,0.11539144220905459,-0.31749982116435255
2024-10-10,0.07337674453417274,0.11524980341668686,-0.3176633733533979
2024-10-11,0.07373926673503887,0.1134893456241215,-0.319631160860038
2024-10-15,0.07338329489912503,0.11434250605337175,-0.32202211957314253
2024-10-16,0.07453372979759572,0.1150965217205399,-0.3186421239431482
2024-10-17,0.0741321195875677,0.1162868752297925,-0.33678413944909613
2024-10-18,0.0741839538721027,0.11604909064781213,-0.3386252427404478
2024-10-22,0.07687713241446989,0.11614060084948633,-0.3385544328997383
2024-10-23,0.08227162447965276,0.12464613729581747,-0.33555533738389165
2024-10-24,0.07857027529485136,0.12359950583789651,-0.330758610711417
2024-10-25,0.07798423510753934,0.11925856806756643,-0.3297343946660947
2024-10-29,0.0780211683902672,0.1145650675191287,-0.3225965854924301
2024-10-30,0.0721936757696556,0.11846840636404549,-0.32453377571726405
2024-10-31,0.07631499714988652,0.11447106733437692,-0.32693518096327845
2024-11-01,,0.11284744468102231,
2024-11-05,0.07608146913464284,0.11315548067579828,-0.326205725399932
2024-11-06,0.07628618943706292,0.1111793316147923,-0.32443311049312334
2024-11-07,0.07535576637901133,0.1080375452350209,-0.3356230502387694
2024-11-08,0.07329726756340688,0.10672169889526534,-0.3385900566916419
2024-11-12,0.07379594950611197,0.10906423445514461,-0.34395234575077394
2024-11-13,0.07471208416615054,0.11536365763618808,-0.3485886792790373
2024-11-14,0.06907345000803015,0.12148202035989086,-0.3426996498658673
2024-11-15,0.07126742038835399,0.12588042509948116,-0.3436939745872344
2024-11-19,0.06942739233449319,0.12752233118867137,-0.34326383999549387
2024-11-20,0.06865584168297874,0.12858887146840986,-0.3433147415211099
2024-11-21,0.06934729234990554,0.12791215121939234,-0.3417336903518096
2024-11-22,0.06995914721600069,0.13053903068120043,-0.338609742190435
2024-11-26,0.0703051909587668,0.1254870965181154,-0.3420985653665991
2024-11-27,0.0716204119281307,0.1255350247212651,-0.3390140749140505
2024-11-28,0.07080687196459359,0.12756855320457577,-0.34044399979483025
2024-11-29,0.06924093520943755,0.12737856334481862,-0.34013650793772743
2024-12-03,0.06885101916645757,0.12455987660669217,-0.336250347192153
2024-12-04,0.06935589891362812,0.12481620508029402,-0.33684879506453763
2024-12-05,0.0686942814236514,0.12417997099346272,-0.3351733442698232
2024-12-06,0.06945347999425514,0.125099599303261,-0.3342258285044565
2024-12-10,0.06786730329335675,0.12369451583193408,-0.3336576652190337
2024-12-11,0.0679621069058078,0.11899259504240092,-0.33352305195267584
2024-12-12,0.06761842731069784,0.11940969556759297,-0.33220316692024615
2024-12-13,0.06837579687834769,0.12031632162867525,-0.3326098728002386
2024-12-17,0.07039430697534617,0.1172040011345517,-0.3260177033165136
2024-12-18,0.0700403941601376,0.11491671469016639,-0.32713795237383364
2024-12-19,0.0619273539766093,0.11602865211482334,-0.33030726891010087
2024-12-20,0.06471172007515638,0.11630154952576116,-0.32964579536354505
2024-12-24,,0.11641090099436166,-0.33100706894816984
2024-12-31,0.06586697533368675,0.11657512805609785,-0.32412884656189417
2025-01-03,0.061287039655125004,0.11461706853601623,-0.32297155038267283
2025-01-07,0.061443043776849546,0.1085104032280581,-0.32213526029809497
2025-01-08,0.06151539473254277,0.10864351308779227,-0.3225861320890654
2025-01-09,0.06937533157659932,0.11105468619287616,-0.3155250001978943
2025-01-10,0.06812614794682545,0.11062902669782582,-0.31263256239931314
2025-01-14,0.06745116893233263,0.10841674050897139,-0.30751867261029564
2025-01-15,0.062316795395458584,0.10842201417685096,-0.29374059932064295
2025-01-16,0.06279232509712167,0.10913998292184192,-0.294374579633596
2025-01-17,0.06209494810737867,0.11188704982286722,-0.29657306760385266
2025-01-21,0.06829460763851865,0.11034659739996343,-0.2910450384212668
2025-01-22,0.06304701657688347,0.11200036663311011,-0.293834534916294
2025-01-23,0.06198177886906181,0.11500874412654384,-0.2969654491132975
2025-01-24,0.0625080893430229,0.11644193906241868,-0.29784243386867193
2025-01-28,0.05902486047889742,0.11778971152071234,-0.28900441900868834
2025-01-29,0.05605156077823052,0.11726886588034467,-0.2857138678756479
2025-01-30,0.05359328588931557,0.12287598449011385,-0.28356327167825246
2025-01-31,0.054255022693857485,0.1236073755183548,-0.28456201279321547
2025-02-04,0.05435657492850516,0.12321138368970888,-0.28072279475616396
2025-02-05,0.053584780697250825,0.12650191386840268,-0.28034130879457037
2025-02-06,0.061067559941465566,0.12697271547933134,-0.28451667757103216
2025-02-07,0.056400041613017794,0.1278660912859033,-0.2947971910312701
2025-02-11,0.05975404490116282,0.12629619207766,-0.29118717820344614
2025-02-12,0.06279290324354557,0.12499869732169033,-0.2875459012049669
2025-02-13,0.05835253218321454,0.12791984071960763,-0.2908424529587194
2025-02-14,0.053200735450384,0.1229768294909595,-0.289556926803758
2025-02-18,0.05655085269628612,0.12354198376625038,-0.28910985850312615
2025-02-19,0.059127953946714454,0.12508326194801106,-0.28438863460773384
2025-02-20,0.06073215652274469,0.1260099370855899,-0.2850005708732729
2025-02-21,0.06315569308730216,0.12765990893319007,-0.28248000949175234
2025-02-25,0.0642636101889277,0.12830329595594528,-0.2816430181130987
2025-02-26,0.07147344503049112,0.12706013807871133,-0.2702324714911442
2025-02-27,0.08023418478712908,0.12647082545822175,-0.220598539807108
2025-02-28,0.09134284322920652,0.12655748885341117,-0.21961742684475288
2025-03-04,0.09139853371441528,0.1292009254442234,-0.21597974163215283
2025-03-05,0.08915842484712624,0.1289908970184679,-0.20593960181782775
2025-03-06,0.08871837707396435,0.12488563753106634,-0.20049024085060696
2025-03-07,0.08754984584264523,0.12462892940196228,-0.19886596964235878
2025-03-11,0.08762814203495897,0.11422484549891217,-0.19354729959732828
2025-03-12,0.08998193342962338,0.11862029127719474,-0.1952185696775737
2025-03-13,0.09014309054594952,0.11847061947515733,-0.19462176194688668
2025-03-14,0.09046724933877828,0.12439827297330887,-0.1883542782585934
2025-03-18,0.09214831962604005,0.12426754691879385,-0.19086515545979715
2025-03-19,0.09320846754107147,0.12568183104052988,-0.2119370285899087
2025-03-20,0.09520603745924472,0.11968408915170704,-0.21330437335430594
2025-03-21,0.09836053784143295,0.1193506305530824,-0.21307242211113497
2025-03-25,0.09804386755410814,0.11893687000776713,-0.2120607650719158
2025-03-26,0.09580736357758936,0.11888112481896965,-0.21104816477006585
2025-03-27,0.0946423892343055,0.11923966445969206,-0.212133542531577
2025-03-28,0.09472799686413727,0.11935580597545735,-0.21493407643280243
2025-04-01,0.09802442431820269,0.11826048296989182,-0.17628012297782675
2025-04-02,0.11176374490444059,0.11803982923279613,-0.17286314300650318
2025-04-03,0.10061498218161023,0.11188239952196419,-0.15837791718899064
2025-04-04,0.06620320972274622,0.08802710721178424,-0.09905079170623783
2025-04-08,0.0943734717151508,0.09987717696632178,-0.09156156964141773
2025-04-09,0.1394692877026494,0.10239654176775874,-0.07581631437824154
2025-04-10,0.13965732958553434,0.10020957517875036,-0.05382246706358138
2025-04-11,0.13738483831401113,0.09803097920829536,-0.05397211163345223
2025-04-15,0.14177573661035361,0.10403949402674537,-0.03716046662002615
2025-04-16,0.14004866391834953,0.10393440617076917,-0.04140752516957214
2025-04-17,0.1402117778528902,0.1055001720825116,-0.041210842046429406
2025-04-23,0.1383537356715399,0.10599214940730509,-0.04000479113200994
2025-04-24,0.1372207119651179,0.10569720623409302,-0.037687670612424964
2025-04-25,0.13687392587792235,0.10719002187721524,-0.03763982751934164
2025-04-29,0.13799307001093508,0.10383865936012386,-0.042240661390794534
2025-04-30,0.13151680814943462,0.10136550746047808,-0.03714978765254702
2025-05-06,0.13101347169294175,0.10324832555259111,-0.026925579861279105
2025-05-07,0.13524764714007328,0.10310017373718744,-0.028695761851914973
2025-05-08,0.13311805911843672,0.10327483985847694,-0.032889911033365575
2025-05-09,,0.10383334281741012,
2025-05-13,0.13348659884280503,0.10294762914044676,-0.037490163226873714
2025-05-14,0.13202356959678116,0.10422923698672663,-0.040207255948989995
2025-05-15,0.13150707520202834,0.10352135067211975,-0.037110742604559634
2025-05-16,0.13091851050703654,0.10391768793555477,-0.02881096977472443
2025-05-20,0.1328093383008812,0.1012444703193353,-0.025317422465130426
2025-05-21,0.13175001293215016,0.10043316013174211,-0.02715612653941724
2025-05-22,0.13116245874640645,0.10037474435888626,-0.02874793219954892
2025-05-23,0.12929828457059522,0.10046031666094919,-0.030899525532157364
2025-05-27,0.12812663855851467,0.10024506406805683,-0.036587342839804166
2025-05-28,0.1283111826534234,0.09996188378162489,-0.036360329429370813
2025-05-29,,0.09943175007482553,
2025-05-30,,0.09532080073760713,
2025-06-03,0.12917985469607024,0.09711292812837641,-0.03760316756189359
2025-06-04,0.12799449343757446,0.0974802341621189,-0.03923820644837451
2025-06-05,0.12884343614404822,0.0971976446128389,-0.03849398312110876
2025-06-06,0.1313629998833644,0.0981397652681631,-0.03993118452404993
2025-06-10,,0.09774309796450877,
2025-06-11,0.13243507764883877,0.09719011503209964,-0.03798129595676338
2025-06-12,0.13307102340961008,0.09814291536910996,-0.040559469118479574
2025-06-13,0.13252206380801065,0.09740441023585289,-0.042022341783114946
2025-06-17,0.13265692623779074,0.09703703810501049,-0.03983065437870076
2025-06-18,0.13213270475326933,0.09761009780402424,-0.03852209556088569
2025-06-19,0.13088628322246632,0.0979112474617208,-0.03513685372645646
2025-06-20,0.13117685529098902,0.09943872476346018,-0.035333242565334995
2025-06-24,,0.10055810072387858,
2025-06-25,0.1303956917603787,0.10102659664502973,-0.031687449909258175
2025-06-26,0.13093840649495983,0.10098439018260158,-0.03234157460686932
2025-06-27,0.13062849016053976,0.10253271455433106,-0.03372635120917739
2025-07-01,0.13032713424946005,0.10255640354295237,-0.03405215262357268
2025-07-02,0.13042140147667353,0.10346897149010771,-0.03253191852442801
2025-07-03,0.13040784392368235,0.10536544353726016,-0.028067590930041915
2025-07-04,0.13164626306210156,0.10556808612449833,-0.0279601408562467
2025-07-08,0.1309847960219884,0.10559692865302103,-0.02977825965024808
2025-07-09,0.13270672770776618,0.10642269363383285,-0.029765248025229365
2025-07-10,0.13240845244942742,0.10568451372419424,-0.029645565838074497
2025-07-11,0.1375750250821459,0.10508856527035247,-0.03244416164106212
2025-07-15,0.13610078965792738,0.10517205742469819,-0.03164570978501575
2025-07-16,0.13612385415827605,0.10729070084152764,-0.03274455193815441
2025-07-17,0.13633436687327558,0.10761300732592656,-0.030352964825240105
2025-07-18,0.13201339616499294,0.11008460262547198,-0.0294133386572562
2025-07-22,0.13108923367895456,0.11010976043991173,-0.029944253230835157
2025-07-23,0.13026419245271423,0.10823868454084784,-0.030823148979891465
2025-07-24,0.1289811718286363,0.10707650398876152,-0.029758823865440456
2025-07-25,0.1293207413856518,0.11003311194399415,-0.02849940603461679
2025-07-29,0.12940022804897522,0.10879028932461692,-0.025655988096228613
2025-07-30,0.13031556354142326,0.10615326956006578,-0.021145146740344005
2025-07-31,0.13191096566067798,0.11107907531259639,-0.025557646247555632
2025-08-01,0.1286878062332058,0.11628892350789766,-0.02526042940675701
2025-08-05,0.12889296466034803,0.11692499937423668,-0.023995579084321757
2025-08-06,0.13047070244564707,0.11960699451392347,-0.02177142425518372
2025-08-07,0.12711520348155506,0.12105417401618072,-0.026413476041986243
2025-08-08,0.11890018763862029,0.12139151908114479,-0.02513978263830749
2025-08-12,0.11916034366238795,0.12106342650048432,-0.024958812668430516
2025-08-13,0.11930364461502954,0.11818955421995983,-0.026146281391477417
2025-08-14,0.11871199429994513,0.11348247540586288,-0.026931387843747226
2025-08-15,,0.1128832009101701,
2025-08-19,0.11715358729796026,0.11188296990323855,-0.03014004956802373
2025-08-20,0.11681996344820729,0.11104751939506326,-0.029006147599408075
2025-08-21,0.11347473220641001,0.11219915086370133,-0.035721619693133186
2025-08-22,0.10754949199715558,0.11303449371311684,-0.036886837615053646
2025-08-26,0.10759039787394616,0.1121951553714599,-0.03542964715666293
2025-08-27,0.10918474232190732,0.11141007074759672,-0.026390974128617666
2025-08-28,0.10677014776572433,0.11473010362591592,-0.026383118386947978
2025-08-29,0.10588682012143838,0.11787888192382617,-0.027322112417288595
2025-09-02,0.10519529950604864,0.12016900069348123,-0.022509375233206886
2025-09-03,0.10567611691148801,0.12087963437016835,-0.025237113757946433
2025-09-04,0.10377114898007836,0.11685739920280189,-0.017981404272428267
2025-09-05,0.10431364133805965,0.11607173135386027,-0.02040795012835533
2025-09-09,0.10371639177703179,0.11665723415137244,-0.018848775247447363
2025-09-10,0.10395109207072853,0.11583443598730209,-0.018297312777464644
2025-09-11,0.10475029602873732,0.11209045649780414,-0.020646825798421413
2025-09-12,0.10664385523585915,0.11115450159615427,-0.013542704909407066
2025-09-16,0.10684434805075445,0.11029115680306703,-0.010364801223905859
2025-09-17,0.10841502018812989,0.11165642656365654,-0.010710278617945788
2025-09-18,0.10571039399279838,0.11287957598969148,-0.013693973150408644
2025-09-19,0.10455458252801089,0.115023253049423,-0.014324606545271573
2025-09-23,0.10718148959387903,0.11436702205595176,-0.01460272412062812
2025-09-24,0.10612733747813818,0.11387345261686364,-0.015355625900654292
2025-09-25,0.10617025583368184,0.11458840173792595,-0.018145277786018373
2025-09-26,0.10331734365018921,0.11158975433195917,-0.018236746439964105
2025-09-30,0.10357380745636144,0.11170976401003735,-0.0214010486408573
2025-10-01,0.10388176369069536,0.11548836421530424,-0.03318241525368262
2025-10-02,0.10614698772685338,0.11546837014810316,-0.04270966985696258
2025-10-03,0.1038206614265725,0.11708700612246196,-0.044817599016096214
2025-10-07,0.103920799274131,0.11691938117673617,-0.04409036263545281
2025-10-08,0.106403365969266,0.11373543914039815,-0.04392147404525071
2025-10-09,0.10530241103501987,0.11146833865380881,-0.04678158745026142
2025-10-10,0.1082360200027234,0.11108165080316802,-0.0442949640941857
2025-10-14,0.10921089623980502,0.11128070612310334,-0.04141658269350054
2025-10-15,0.10889458698963275,0.11158028330590881,-0.04722130710649248
2025-10-16,0.1093498654673045,0.1116312978367833,-0.047759210904369145
2025-10-17,0.1139810157133378,0.111892924276187,-0.046613222941213124
2025-10-21,0.11160584643005521,0.11115975019454567,-0.046667451701566144
2025-10-22,0.1102323548224588,0.11007786452083258,-0.048527020875404094
2025-10-23,0.11020840192086166,0.1124806530970304,-0.047961438038582056
2025-10-24,0.11186785193867899,0.11170847124961386,-0.04181911439343078
2025-10-28,0.11294141132048931,0.11166229984763289,-0.03811728027179783
2025-10-29,0.11385600508829002,0.11265080890832758,-0.03955263801769865
2025-10-30,0.11690635429729403,0.1128673310033214,-0.03955187451252323
2025-10-31,0.11688663089512634,0.11310092314758496,-0.04252840483550226
2025-11-04,0.11449541342411311,0.1158548964276959,-0.04183568748832304
2025-11-05,0.11295645344906721,0.11543517506570818,-0.03473276698520201
2025-11-06,0.11178820518828066,0.11546280479284927,-0.033562282358195035
2025-11-07,0.1120055855177403,0.11683597029014534,-0.03456897913097805
