,corr_rolling_63d
2021-07-14,0.3596369023942684
2021-07-15,0.36802080819763155
2021-07-16,0.3267152493070796
2021-07-19,0.2919305132475156
2021-07-20,0.30560964090383347
2021-07-21,0.35717800028735164
2021-07-22,0.364871804001563
2021-07-23,0.3803244554064661
2021-07-26,0.39246324778419395
2021-07-27,0.4140480004245571
2021-07-28,0.440556915259462
2021-07-29,0.4403363636263207
2021-07-30,0.42573003970308704
2021-08-02,0.41742016204688775
2021-08-03,0.3984956418996911
2021-08-04,0.39919987135966684
2021-08-05,0.4033554086086106
2021-08-06,0.47095006772021636
2021-08-09,0.4355490505991335
2021-08-10,0.4350916797866382
2021-08-11,0.435189610627325
2021-08-12,0.4390672729365116
2021-08-13,0.45083266483255646
2021-08-16,0.44207777308734614
2021-08-17,0.38374616819271146
2021-08-18,0.3882707123806044
2021-08-19,0.38997877995864016
2021-08-20,0.3899545870201821
2021-08-23,0.38189337143754576
2021-08-24,0.4087379558395514
2021-08-25,0.40223343537468004
2021-08-26,0.4070712174043952
2021-08-27,0.40904817607738087
2021-08-30,0.41546160183175956
2021-08-31,0.4139631668986967
2021-09-01,0.4101475119824351
2021-09-02,0.4140820660869157
2021-09-03,0.3922096197338454
2021-09-06,0.4105152778837096
2021-09-07,0.42026554386522175
2021-09-08,0.4281954417657289
2021-09-09,0.4403709697244198
2021-09-10,0.44280909808887264
2021-09-13,0.4408050774228322
2021-09-14,0.49803201630972443
2021-09-15,0.4590105330943196
2021-09-16,0.45493390060279815
2021-09-17,0.46060285783830435
2021-09-20,0.44617322366919965
2021-09-21,0.4493174710824985
2021-09-22,0.47421256808509704
2021-09-23,0.46027758350643755
2021-09-24,0.453201501434592
2021-09-27,0.4708259759747944
2021-09-28,0.5390303578337456
2021-09-29,0.5544671165161081
2021-09-30,0.5471121505101068
2021-10-01,0.5507017216207931
2021-10-04,0.5797260677411968
2021-10-05,0.5554180307225272
2021-10-06,0.5668351098046102
2021-10-07,0.580373365868793
2021-10-08,0.5624842274067862
2021-10-11,0.5617256662451052
2021-10-12,0.5486477112364595
2021-10-13,0.534082242554283
2021-10-14,0.5795694496231578
2021-10-15,0.5821956132096144
2021-10-18,0.591436884089108
2021-10-19,0.5837535201955678
2021-10-20,0.5644457678168431
2021-10-21,0.566903836158217
2021-10-22,0.5086794848274587
2021-10-25,0.4941555673347048
2021-10-26,0.49053277289237085
2021-10-27,0.4585949004701767
2021-10-28,0.45847933572538796
2021-10-29,0.45819139418753724
2021-11-01,0.46207443181296065
2021-11-02,0.44341419897497897
2021-11-03,0.4403835327111642
2021-11-04,0.25263699972974246
2021-11-05,0.23711146896352986
2021-11-08,0.23434005220474693
2021-11-09,0.2227820646538796
2021-11-10,0.2109364604127285
2021-11-11,0.2103807906653598
2021-11-12,0.21390461545380998
2021-11-15,0.2134344768764568
2021-11-16,0.2173578485296181
2021-11-17,0.22499379130834637
2021-11-18,0.21944180620636078
2021-11-19,0.2219540614309011
2021-11-22,0.2212349026516149
2021-11-23,0.22326254233206402
2021-11-24,0.2273709072348077
2021-11-25,0.22778188774741015
2021-11-26,0.19579889093058223
2021-11-29,0.19774213518839964
2021-11-30,0.21864715094716164
2021-12-01,0.20966808813798452
2021-12-02,0.19370786983417485
2021-12-03,0.1878108599239332
2021-12-06,0.1851786560026239
2021-12-07,0.1700213499932618
2021-12-08,0.1805105091739952
2021-12-09,0.1761607811541559
2021-12-10,0.17944123368009585
2021-12-13,0.1840230544844588
2021-12-14,0.1585516226659891
2021-12-15,0.15145479913115398
2021-12-16,0.14033011764454834
2021-12-17,0.12048160690100547
2021-12-20,0.10342584032883
2021-12-21,0.1279546338146367
2021-12-22,0.1257245004837951
2021-12-23,0.13018639275414942
2021-12-24,0.055702016867753154
2021-12-27,0.047953846858012066
2021-12-28,0.05396801950716852
2021-12-29,0.05233153272062392
2021-12-30,0.05489419328808443
2021-12-31,0.03892398785887838
2022-01-03,0.026020692606669605
2022-01-04,-0.013168934173177018
2022-01-05,0.00047496776656977404
2022-01-06,0.010125141008918582
2022-01-07,0.02191341361684867
2022-01-10,0.018578634729032175
2022-01-11,-0.046809542425053585
2022-01-12,-0.06583577759772012
2022-01-13,-0.06183608129208563
2022-01-14,-0.06358448722966722
2022-01-17,-0.06140440327503355
2022-01-18,-0.04639744016973165
2022-01-19,-0.03149590674653392
2022-01-20,-0.04160472333292144
2022-01-21,0.026914260117834897
2022-01-24,0.016712658589358734
2022-01-25,0.020775736787169673
2022-01-26,0.0697154527768157
2022-01-27,0.08490902310893385
2022-01-28,0.05387790943935085
2022-01-31,0.05293612370369467
2022-02-01,0.1524064702606084
2022-02-02,0.15968255850193472
2022-02-03,0.14896843128697612
2022-02-04,0.16048499285667048
2022-02-07,0.164703568288275
2022-02-08,0.1672348970594367
2022-02-09,0.14581905042184476
2022-02-10,0.09584506011504318
2022-02-11,0.06834958761950766
2022-02-14,0.06767888632235726
2022-02-15,0.06586006426416134
2022-02-16,0.05866779547327499
2022-02-17,0.05114770595018407
2022-02-18,0.04063643691212724
2022-02-21,0.027973472941704984
2022-02-22,0.02713635176014333
2022-02-23,0.03798049991489922
2022-02-24,0.03434544961954372
2022-02-25,0.02254845463205174
2022-02-28,0.03938824535906004
2022-03-01,-0.041542939391353645
2022-03-02,-0.04433328731473274
2022-03-03,-0.04764401799193095
2022-03-04,-0.049602489934731736
2022-03-07,-0.06452778653860461
2022-03-08,-0.06919875129417737
2022-03-09,-0.06796662128354206
2022-03-10,-0.07590545211494144
2022-03-11,-0.033532028855173014
2022-03-14,-0.036624988583340554
2022-03-15,0.003550588955882908
2022-03-16,-0.03339829133117876
2022-03-17,-0.03442142755530814
2022-03-18,-0.05748855969371243
2022-03-21,-0.053733873244102774
2022-03-22,-0.04499598618366302
2022-03-23,-0.04407271282405219
2022-03-24,-0.04449169029055606
2022-03-25,-0.03854794198398989
2022-03-28,-0.03928817722858458
2022-03-29,-0.04727498629697756
2022-03-30,-0.040540333450653686
2022-03-31,-0.039001087824480744
2022-04-01,-0.047538632425229224
2022-04-04,-0.050437184421238804
2022-04-05,-0.07539810274341864
2022-04-06,-0.06663658891074925
2022-04-07,-0.06898766806209534
2022-04-08,-0.05943164934445582
2022-04-11,-0.045008225500339005
2022-04-12,-0.04984517523891913
2022-04-13,-0.0552316681504027
2022-04-14,-0.05195743030576542
2022-04-15,-0.06706033909883993
2022-04-18,-0.07388319552868136
2022-04-19,-0.062150217082590546
2022-04-20,-0.13190338967088733
2022-04-21,-0.15487298288365664
2022-04-22,-0.09380835654786032
2022-04-25,-0.13512303572488307
2022-04-26,-0.16045714226133845
2022-04-27,-0.13675672619547302
2022-04-28,-0.13537007551266375
2022-04-29,-0.1380318995876739
2022-05-02,-0.12674629378238964
2022-05-03,-0.149323037693972
2022-05-04,-0.14063201858138852
2022-05-05,-0.14141592201907677
2022-05-06,-0.14335315424027087
2022-05-09,-0.11754625438895412
2022-05-10,-0.09185095055855574
2022-05-11,-0.10524465514905758
2022-05-12,-0.1162757203162537
2022-05-13,-0.07112865503695058
2022-05-16,-0.06884322745577556
2022-05-17,-0.06495122601692029
2022-05-18,-0.0582953545071378
2022-05-19,-0.05222506911425388
2022-05-20,-0.05332241495387736
2022-05-23,-0.05676081270535965
2022-05-24,-0.026306845185170746
2022-05-25,-0.025653426377239014
2022-05-26,-0.020306219820537826
2022-05-27,0.061803692352703284
2022-05-30,0.06813561967518582
2022-05-31,0.07079790439354364
2022-06-01,0.059428163329400284
2022-06-02,0.057000320867611004
2022-06-03,0.06272256862707222
2022-06-06,0.06083070431451968
2022-06-07,0.06891050528173796
2022-06-08,0.029561664805199638
2022-06-09,-0.020851375046209084
2022-06-10,-0.14210739647460627
2022-06-13,-0.07209761688585185
2022-06-14,-0.0904479763055633
2022-06-15,-0.16496572851294072
2022-06-16,-0.12981350518350743
2022-06-17,-0.14711502163432277
2022-06-20,-0.14957728124353967
2022-06-21,-0.15576718272767193
2022-06-22,-0.2030187167892519
2022-06-23,-0.24377581037030405
2022-06-24,-0.24184810187871342
2022-06-27,-0.24466967896654815
2022-06-28,-0.2515585678808888
2022-06-29,-0.25091683465567177
2022-06-30,-0.2573752696135695
2022-07-01,-0.2962639679511628
2022-07-04,-0.30687149430699506
2022-07-05,-0.3012322859631679
2022-07-06,-0.319640165998785
2022-07-07,-0.2991034250983637
2022-07-08,-0.28992314502629235
2022-07-11,-0.2893332607953008
2022-07-12,-0.3129752583968208
2022-07-13,-0.32638546248067163
2022-07-14,-0.33498224533105586
2022-07-15,-0.31858709081027164
2022-07-18,-0.31277157547047857
2022-07-19,-0.3109775934867285
2022-07-20,-0.349663466471979
2022-07-21,-0.35103885929158585
2022-07-22,-0.3905168155806916
2022-07-25,-0.3974414540283012
2022-07-26,-0.41281931726377386
2022-07-27,-0.41648055545576146
2022-07-28,-0.4422914449244856
2022-07-29,-0.4470410164508715
2022-08-01,-0.46146665701761325
2022-08-02,-0.4605124588575999
2022-08-03,-0.452351558281492
2022-08-04,-0.45854141221485806
2022-08-05,-0.46794734569458435
2022-08-08,-0.4599589986685541
2022-08-09,-0.44715188913922294
2022-08-10,-0.4840792144182547
2022-08-11,-0.4847316306348882
2022-08-12,-0.4714478590317192
2022-08-15,-0.4730897961332295
2022-08-16,-0.4810890162418028
2022-08-17,-0.4982754800689384
2022-08-18,-0.49757221506415594
2022-08-19,-0.5312025413308143
2022-08-22,-0.5324253651340126
2022-08-23,-0.5360450085711654
2022-08-24,-0.534104957781804
2022-08-25,-0.5372051333696891
2022-08-26,-0.546683332241136
2022-08-29,-0.5317254676871775
2022-08-30,-0.5287327781976066
2022-08-31,-0.5252721686589511
2022-09-01,-0.5275079645922028
2022-09-02,-0.5211202203323635
2022-09-05,-0.5167847044786832
2022-09-06,-0.4991361703136449
2022-09-07,-0.46313655021977845
2022-09-08,-0.4879791507323251
2022-09-09,-0.4741201717264032
2022-09-12,-0.4459950851461752
2022-09-13,-0.5209991663875558
2022-09-14,-0.5247593208150584
2022-09-15,-0.5255576495805789
2022-09-16,-0.5187411521803679
2022-09-19,-0.5092916205976431
2022-09-20,-0.5046904496743501
2022-09-21,-0.49941313538791676
2022-09-22,-0.4987063118807821
2022-09-23,-0.5104766349586068
2022-09-26,-0.5085471283616414
2022-09-27,-0.5283258855949602
2022-09-28,-0.514135409216597
2022-09-29,-0.4842901573369079
2022-09-30,-0.4935186015612248
2022-10-03,-0.48586185905817386
2022-10-04,-0.5229374584301903
2022-10-05,-0.5187642787424331
2022-10-06,-0.5043439211064196
2022-10-07,-0.5144650771426149
2022-10-10,-0.5007756900787538
2022-10-11,-0.49789395993412794
2022-10-12,-0.5101335287815406
2022-10-13,-0.5024831152366999
2022-10-14,-0.49506325717340427
2022-10-17,-0.4968357680766788
2022-10-18,-0.4952278249571878
2022-10-19,-0.45854312513911905
2022-10-20,-0.44348325849229747
2022-10-21,-0.4412721835408216
2022-10-24,-0.434287728009515
2022-10-25,-0.4351736263725407
2022-10-26,-0.4234228364741263
2022-10-27,-0.4428994376654373
2022-10-28,-0.4437591159904225
2022-10-31,-0.44901637521568094
2022-11-01,-0.4419468868210016
2022-11-02,-0.43544434769090057
2022-11-03,-0.45714668956233356
2022-11-04,-0.4614772510020511
2022-11-07,-0.45539202898878367
2022-11-08,-0.47192024467185373
2022-11-09,-0.4835823469638797
2022-11-10,-0.5633828750745788
2022-11-11,-0.5629952048811175
2022-11-14,-0.5503626668200399
2022-11-15,-0.5587756855077742
2022-11-16,-0.5567527249479965
2022-11-17,-0.5607546804743007
2022-11-18,-0.5556527064623047
2022-11-21,-0.5597175095884942
2022-11-22,-0.5521702960563704
2022-11-23,-0.5524237778336841
2022-11-24,-0.5617078813754779
2022-11-25,-0.5558098242995299
2022-11-28,-0.5558676623959917
2022-11-29,-0.5537497152393007
2022-11-30,-0.5616482741669151
2022-12-01,-0.5752155922315363
2022-12-02,-0.5667013311828961
2022-12-05,-0.5660326523022867
2022-12-06,-0.5727541943133153
2022-12-07,-0.5729651582199767
2022-12-08,-0.5747803728953138
2022-12-09,-0.5542152427386418
2022-12-12,-0.55360738916921
2022-12-13,-0.551400339869438
2022-12-14,-0.5532278658828679
2022-12-15,-0.5645260927249678
2022-12-16,-0.5430334697069349
2022-12-19,-0.5507665881550758
2022-12-20,-0.5321264932925365
2022-12-21,-0.4973039332703796
2022-12-22,-0.48331418573497675
2022-12-23,-0.45904903621322385
2022-12-26,-0.44932800302279036
2022-12-27,-0.4655858140658873
2022-12-28,-0.4635416165101427
2022-12-29,-0.4666581308093648
2022-12-30,-0.43897071071377936
2023-01-02,-0.42549415711578437
2023-01-03,-0.4438851388436877
2023-01-04,-0.4018232777846977
2023-01-05,-0.40824909533962633
2023-01-06,-0.4007031988049599
2023-01-09,-0.39524423661808195
2023-01-10,-0.4160090803650715
2023-01-11,-0.42802511928538584
2023-01-12,-0.4359387044445392
2023-01-13,-0.4368324534691742
2023-01-16,-0.43341315392370233
2023-01-17,-0.4356276444535053
2023-01-18,-0.43694808123828033
2023-01-19,-0.46081157734982825
2023-01-20,-0.4410815245882128
2023-01-23,-0.4545628474334185
2023-01-24,-0.43974151969648667
2023-01-25,-0.44113030977171597
2023-01-26,-0.42865922778916915
2023-01-27,-0.43552914412076144
2023-01-30,-0.4415332210535056
2023-01-31,-0.4065815634997242
2023-02-01,-0.4213543193096578
2023-02-02,-0.4680260043028405
2023-02-03,-0.4626846228888041
2023-02-06,-0.4723807639472121
2023-02-07,-0.34097537537054845
2023-02-08,-0.337428858539678
2023-02-09,-0.31650862989932144
2023-02-10,-0.311249264673886
2023-02-13,-0.3159409954055134
2023-02-14,-0.3043284431405076
2023-02-15,-0.3128164247703154
2023-02-16,-0.31311418459996887
2023-02-17,-0.3243969252202239
2023-02-20,-0.31135114101403
2023-02-21,-0.3348731315106557
2023-02-22,-0.35049479803004574
2023-02-23,-0.3468257603722841
2023-02-24,-0.35112352034076527
2023-02-27,-0.3532962653028769
2023-02-28,-0.312431638629083
2023-03-01,-0.3590593146926092
2023-03-02,-0.35063646664270104
2023-03-03,-0.3636441631623119
2023-03-06,-0.3653632019401501
2023-03-07,-0.3679276492067568
2023-03-08,-0.3728187437137925
2023-03-09,-0.37339821523256206
2023-03-10,-0.2901968527567319
2023-03-13,-0.29272588615302203
2023-03-14,-0.17927987026341108
2023-03-15,-0.26271788763069875
2023-03-16,-0.2635016393775655
2023-03-17,-0.29439334085787644
2023-03-20,-0.3315402866815525
2023-03-21,-0.3308891945729375
2023-03-22,-0.33861908502414817
2023-03-23,-0.34236245862616016
2023-03-24,-0.3436543839347433
2023-03-27,-0.34418416042280325
2023-03-28,-0.3453575171056279
2023-03-29,-0.37714210619885613
2023-03-30,-0.3836169756556832
2023-03-31,-0.39605423923429456
2023-04-03,-0.39177332837585105
2023-04-04,-0.3837521316353421
2023-04-05,-0.38857438694793806
2023-04-06,-0.3884831264086567
2023-04-07,-0.38295767230086675
2023-04-10,-0.3664583029514611
2023-04-11,-0.3633115414128219
2023-04-12,-0.3666077393441759
2023-04-13,-0.3668965167369204
2023-04-14,-0.37640195055798087
2023-04-17,-0.3749249837817194
2023-04-18,-0.36530813475356416
2023-04-19,-0.36008424840284536
2023-04-20,-0.3627109770361724
2023-04-21,-0.3420403303731455
2023-04-24,-0.33557210711342633
2023-04-25,-0.34630144008977665
2023-04-26,-0.3605640768948989
2023-04-27,-0.3658772472799828
2023-04-28,-0.3372658585237702
2023-05-01,-0.3383764772426783
2023-05-02,-0.2512701526778969
2023-05-03,-0.2419155808030808
2023-05-04,-0.24542950763003119
2023-05-05,-0.23510406375415682
2023-05-08,-0.23180225830361786
2023-05-09,-0.2500688308396705
2023-05-10,-0.23637380260366034
2023-05-11,-0.25425540496769833
2023-05-12,-0.26766851476658055
2023-05-15,-0.2646146099259108
2023-05-16,-0.25186474030255906
2023-05-17,-0.2505665213844095
2023-05-18,-0.24866391077115882
2023-05-19,-0.23464390643642827
2023-05-22,-0.2340299142374442
2023-05-23,-0.23307399209583046
2023-05-24,-0.163912559165968
2023-05-25,-0.15852792530454476
2023-05-26,-0.14241841892017898
2023-05-29,-0.08812405676459494
2023-05-30,-0.08638334635303373
2023-05-31,-0.09413187006360622
2023-06-01,-0.08797206785757329
2023-06-02,-0.0720924478554073
2023-06-05,-0.07370988522869286
2023-06-06,-0.07326007461649195
2023-06-07,-0.13992994474946965
2023-06-08,-0.1389062745299735
2023-06-09,-0.14405348102554777
2023-06-12,-0.00862536279553006
2023-06-13,-0.010390842842879115
2023-06-14,-0.009231223402619235
2023-06-15,-0.022623404628315053
2023-06-16,0.046136785459333716
2023-06-19,0.04976816415287629
2023-06-20,0.07093596255710162
2023-06-21,0.03663199791497396
2023-06-22,0.047394364244843834
2023-06-23,0.072763170311973
2023-06-26,0.08272973690732129
2023-06-27,0.10644622334742657
2023-06-28,0.18935247371046565
2023-06-29,0.15993165935916462
2023-06-30,0.15283233363429372
2023-07-03,0.161965180797164
2023-07-04,0.16238693223639444
2023-07-05,0.1559859427908427
2023-07-06,0.21054840806888894
2023-07-07,0.20217101559497513
2023-07-10,0.21657788284236462
2023-07-11,0.2216053635492774
2023-07-12,0.22711737814012242
2023-07-13,0.23075715492009863
2023-07-14,0.22406208830568833
2023-07-17,0.22407267703810005
2023-07-18,0.25740251176276663
2023-07-19,0.23436593613390072
2023-07-20,0.21647228773348162
2023-07-21,0.22223743072274132
2023-07-24,0.2576654066185067
2023-07-25,0.26518771455638507
2023-07-26,0.26714577137011397
2023-07-27,0.30851284141174456
2023-07-28,0.28516518421676135
2023-07-31,0.2821974169080472
2023-08-01,0.2967713066057762
2023-08-02,0.2990533138625563
2023-08-03,0.31499957139572476
2023-08-04,0.31213034108566173
2023-08-07,0.3105375158457322
2023-08-08,0.3502838779339999
2023-08-09,0.31726708074057774
2023-08-10,0.31663587749676897
2023-08-11,0.28028183431160114
2023-08-14,0.27882240940805686
2023-08-15,0.28140726807679134
2023-08-16,0.285689606186987
2023-08-17,0.25549757014315355
2023-08-18,0.25190664360838616
2023-08-21,0.20371987728731664
2023-08-22,0.23945422473143504
2023-08-23,0.1817646433613684
2023-08-24,0.1918430517853811
2023-08-25,0.19419818618871773
2023-08-28,0.20946571838038128
2023-08-29,0.18828144359368618
2023-08-30,0.19155424826794684
2023-08-31,0.1868435146242939
2023-09-01,0.18766895592973398
2023-09-04,0.19449666778920466
2023-09-05,0.1890963281723915
2023-09-06,0.2109835671771788
2023-09-07,0.2167296586629728
2023-09-08,0.22630614854704706
2023-09-11,0.22832766608087185
2023-09-12,0.2315895930185205
2023-09-13,0.2050661493284299
2023-09-14,0.18366872294659217
2023-09-15,0.16845216452145248
2023-09-18,0.19845152410916445
2023-09-19,0.18257490681616284
2023-09-20,0.16702391920655235
2023-09-21,0.22266739854380965
2023-09-22,0.21481671149842776
2023-09-25,0.19814798058064934
2023-09-26,0.22577091301574162
2023-09-27,0.23783939002246565
2023-09-28,0.259622254792453
2023-09-29,0.28765251734863145
2023-10-02,0.2912184042315
2023-10-03,0.2997572289633011
2023-10-04,0.3158986610671956
2023-10-05,0.31294001067082516
2023-10-06,0.2904912163606452
2023-10-09,0.2761660812421367
2023-10-10,0.30779413821176604
2023-10-11,0.31223818994080665
2023-10-12,0.3112876293938391
2023-10-13,0.29821278941891244
2023-10-16,0.307686346077319
2023-10-17,0.3436455950232377
2023-10-18,0.33324544243894405
2023-10-19,0.3435971916567155
2023-10-20,0.3585595400021193
2023-10-23,0.3526281277335988
2023-10-24,0.31920100120828626
2023-10-25,0.3466329065677723
2023-10-26,0.345207791092138
2023-10-27,0.3383277268828323
2023-10-30,0.3369491366401787
2023-10-31,0.33600245015084246
2023-11-01,0.3754358873945508
2023-11-02,0.38589935128613306
2023-11-03,0.3868052810276332
2023-11-06,0.41028229085834556
2023-11-07,0.3966458777277174
2023-11-08,0.42217695286304385
2023-11-09,0.4124719712593412
2023-11-10,0.4262491272008942
2023-11-13,0.4253489276661251
2023-11-14,0.39228965067314964
2023-11-15,0.3886929121232873
2023-11-16,0.38648459280495123
2023-11-17,0.35706162900446814
2023-11-20,0.3896098371631877
2023-11-21,0.3847685056725295
2023-11-22,0.3830045917011892
2023-11-23,0.3846099919237228
2023-11-24,0.38962000260847196
2023-11-27,0.3857868236129988
2023-11-28,0.3806866981601181
2023-11-29,0.38439384471103116
2023-11-30,0.3856559218969967
2023-12-01,0.3769125254603781
2023-12-04,0.3845155048040476
2023-12-05,0.4040984497308535
2023-12-06,0.40693307589577027
2023-12-07,0.40839109970033716
2023-12-08,0.4152320434988669
2023-12-11,0.41538133049104237
2023-12-12,0.399652309672845
2023-12-13,0.37704180198217024
2023-12-14,0.40206389162663564
2023-12-15,0.3422039097250926
2023-12-18,0.33740914427160285
2023-12-19,0.31468554716000063
2023-12-20,0.32148689189854324
2023-12-21,0.30289583455721386
2023-12-22,0.30554865480502313
2023-12-25,0.3040378377333095
2023-12-26,0.2748428028912582
2023-12-27,0.25719339309782774
2023-12-28,0.2603189379988304
2023-12-29,0.2150331644779179
2024-01-01,0.19876201750713293
2024-01-02,0.19520878262056476
2024-01-03,0.208050378975993
2024-01-04,0.23450485106902572
2024-01-05,0.19201300146746456
2024-01-08,0.19263808009159236
2024-01-09,0.19558515747836827
2024-01-10,0.19524372650579538
2024-01-11,0.07609756045511806
2024-01-12,0.04241990422538511
2024-01-15,0.04690400212383177
2024-01-16,0.036068592927588516
2024-01-17,0.04167178694148407
2024-01-18,0.04377558027614366
2024-01-19,0.03591950050935223
2024-01-22,-0.01826667274179371
2024-01-23,-0.031138609480479418
2024-01-24,-0.02169290817689061
2024-01-25,-0.01126618954811595
2024-01-26,-0.02503243681465813
2024-01-29,-0.06612761566996338
2024-01-30,-0.07318608356367515
2024-01-31,-0.07699792879741113
2024-02-01,-0.08558491339161862
2024-02-02,-0.06673506391523211
2024-02-05,-0.06329778208354568
2024-02-06,-0.06430962382178093
2024-02-07,-0.09307738649951591
2024-02-08,-0.06558860035592248
2024-02-09,-0.018207001137607145
2024-02-12,-0.015359268690743576
2024-02-13,0.0077359719224683295
2024-02-14,0.03262789629456054
2024-02-15,0.03419861049618366
2024-02-16,0.04246875718884089
2024-02-19,0.04311782324558892
2024-02-20,0.02903119205152527
2024-02-21,0.0474408688247343
2024-02-22,0.12042369796840073
2024-02-23,0.13087199444276879
2024-02-26,0.13020275483884614
2024-02-27,0.1267050826692778
2024-02-28,0.13546304037107607
2024-02-29,0.12690424903509404
2024-03-01,0.12660020242463463
2024-03-04,0.11521323986628892
2024-03-05,0.11014717701634848
2024-03-06,0.10602295474927469
2024-03-07,0.056438754422729935
2024-03-08,0.07523639729206462
2024-03-11,0.10594205950140853
2024-03-12,0.09265414778205747
2024-03-13,0.15141180916261596
2024-03-14,0.1424949854454382
2024-03-15,0.17274685751753224
2024-03-18,0.16239554734680722
2024-03-19,0.16932629852738743
2024-03-20,0.174465440798554
2024-03-21,0.220672449512491
2024-03-22,0.22493066094134326
2024-03-25,0.22649789082531782
2024-03-26,0.2268122211248382
2024-03-27,0.1928904102058067
2024-03-28,0.18939953574132326
2024-03-29,0.18920269526880604
2024-04-01,0.184270621220874
2024-04-02,0.16296401780804096
2024-04-03,0.16616343938348302
2024-04-04,0.17450466952712987
2024-04-05,0.1563208312386779
2024-04-08,0.16183457293498882
2024-04-09,0.24368439504104708
2024-04-10,0.2514053504226609
2024-04-11,0.25771134374945376
2024-04-12,0.2518185868057518
2024-04-15,0.23295578372951087
2024-04-16,0.20901043085034873
2024-04-17,0.21665368014624048
2024-04-18,0.228079128706491
2024-04-19,0.2236114689215012
2024-04-22,0.21390144673267994
2024-04-23,0.2241831545975124
2024-04-24,0.2351529561227307
2024-04-25,0.28037767880927156
2024-04-26,0.28751418080314495
2024-04-29,0.2884981006933818
2024-04-30,0.272772292335313
2024-05-01,0.2645440442781561
2024-05-02,0.2639412145879248
2024-05-03,0.26061733130066855
2024-05-06,0.25734029883253756
2024-05-07,0.2473881544634688
2024-05-08,0.2511200726524648
2024-05-09,0.2588395609498251
2024-05-10,0.24626942124558435
2024-05-13,0.23267714581897742
2024-05-14,0.22709012105209872
2024-05-15,0.23765680217708135
2024-05-16,0.23624182729223975
2024-05-17,0.2448016037932073
2024-05-20,0.23241674734073933
2024-05-21,0.18243416691176847
2024-05-22,0.17722369082931902
2024-05-23,0.17846953079834935
