,PDAIEUR LX Equity,EXCRISA LX Equity,LUMNUDE LX Equity
2021-12-07,0.03454843512326534,0.13645001868168471,0.04035762930430583
2021-12-08,0.03238017433568443,0.13190438667790508,0.035046581591031176
2021-12-09,0.03228391133604943,0.12984168914830235,0.03351835900350635
2021-12-10,0.03210458213042031,0.1292665401827214,0.034828355218892625
2021-12-14,0.02654796616202971,0.1278622860797472,0.03529455103132821
2021-12-15,0.02047539084159406,0.12649797425747203,0.03514929928492783
2021-12-16,0.019609621979654455,0.11742720156343517,0.02837253789177946
2021-12-17,0.023167658255368817,0.11794651748609569,0.03573531412750564
2021-12-21,0.01774225546693841,0.12314927882871478,0.04061754708765591
2021-12-22,0.019473110699048276,0.12478698420583917,0.04310863840759987
2021-12-23,0.01911296279535437,0.12542813305477452,0.043925271962174293
2021-12-24,,0.12515372531208604,0.04383186193780412
2021-12-28,0.018423957884114252,0.12458788662460187,
2021-12-29,0.014400851765729902,0.12475358589629125,
2021-12-30,0.017838604513526708,0.1253196021020322,0.04133266903542651
2021-12-31,0.016007916559917908,0.12457150941084416,0.03963751905517209
2022-01-04,0.013854500335283732,0.12586634753331266,
2022-01-05,0.017094709447489368,0.12644852235886989,0.04025004324500102
2022-01-06,0.021584252884476095,0.12011626658905965,0.03284267891014546
2022-01-07,0.023598755655183684,0.11810963522418841,0.0329580270145238
2022-01-11,0.022850003563398363,0.11991167023939502,0.030553211782875025
2022-01-12,0.02264242160919323,0.12003473331101625,0.026501480710155515
2022-01-13,0.023314401903742652,0.1196710260295921,0.028881752572252367
2022-01-14,0.02265067736673782,0.11484081877356869,0.02551318483776474
2022-01-18,0.023298039026254082,0.11611028263410382,0.02611168116790271
2022-01-19,0.02313622602472467,0.11974498059469724,0.0308720167218902
2022-01-20,0.022577208631269517,0.12132693021445722,0.028413201013776368
2022-01-21,0.02221682243547984,0.1287233998826275,0.03237232785091817
2022-01-25,0.021020512263306618,0.12928482836660063,0.03152132636912286
2022-01-26,0.02344960599703238,0.1349173289565343,0.03457835882567805
2022-01-27,0.0257501706064823,0.13632026190453278,0.04130585258198301
2022-01-28,0.02870937260393158,0.13844542458985953,0.0380953941346604
2022-02-01,0.028174582358607182,0.15009930119265244,0.038232623723970155
2022-02-02,0.028263062924539846,0.1466932706121492,0.0319209232938002
2022-02-03,0.03203878906693031,0.13264454488944158,0.019502240937109096
2022-02-04,0.03293550292104931,0.13410852925492822,0.022282179177294133
2022-02-08,0.03917980931995397,0.13334473354220067,0.02037389788952858
2022-02-09,0.04013599394306352,0.13070213247393642,0.018233844246114843
2022-02-10,0.03399229392601718,0.12766734356816398,0.01746577434187404
2022-02-11,0.03766616942792697,0.12552971914332747,0.019951842652371213
2022-02-15,0.035751171094100524,0.11856449756736143,0.021119397959809858
2022-02-16,0.033126341076034314,0.11904610645410182,0.020808307747699865
2022-02-17,0.03376967338244168,0.11922738115383934,0.025728709919392773
2022-02-18,0.016667405756996326,0.1225588062779244,0.0251818960022688
2022-02-22,0.014646755225507893,0.1215675092555647,0.025065144091837886
2022-02-23,0.012895054901650294,0.12227328258426387,0.024122541023549403
2022-02-24,0.017403052825976494,0.1297482433107996,0.025639235628454254
2022-02-25,0.0049972605106416036,0.14649740635417238,0.03420146226903198
2022-03-01,0.003948173854272589,0.1424503470267619,0.03197589441498049
2022-03-02,0.004160304456748237,0.14325910836332742,0.035369018711752194
2022-03-03,0.0030574305120087764,0.14661368243630232,0.035996854992232964
2022-03-04,0.005443006019321152,0.14845389553215513,0.03460481191077504
2022-03-08,0.012064466623323573,0.1283887395057404,0.03768796406400322
2022-03-09,0.010999470234458136,0.12894199280511678,0.03701669291582525
2022-03-10,0.007734834241193954,0.1335450167410723,0.036882701739120054
2022-03-11,0.007914391966291888,0.1306657635833873,0.04059105167050886
2022-03-15,0.003127419759491301,0.1272609025178237,0.03797709634372752
2022-03-16,-0.0014972110786112677,0.1371388004812689,0.04380270522311769
2022-03-17,-0.002682523781800017,0.1374965071903154,
2022-03-18,-0.0038674374736281745,0.13767822719706554,
2022-03-22,-0.0035674160532609372,0.13738114852486524,0.047096871325869
2022-03-23,-0.004439194495156985,0.13663590300892522,0.04255966727561063
2022-03-24,-0.002772260030504843,0.13536180911884985,0.04207365466579679
2022-03-25,-0.0030185107499349144,0.1318575235391226,0.042498857825774713
2022-03-29,-0.006604950400236442,0.13562590920712567,0.042548289401003574
2022-03-30,-0.006967988933505486,0.14016781730676886,0.038583576633092996
2022-03-31,-0.006423190268918869,0.14013213706800715,0.03864003112719503
2022-04-01,-0.007593194024280188,0.14241179584369604,0.03536244834750386
2022-04-05,-0.008067972637259892,0.1429746234533212,0.03392565463436243
2022-04-06,-0.010144256283286893,0.14338135640559052,0.02903102258576919
2022-04-07,-0.009640902477810659,0.14512730603606172,0.03356587258938925
2022-04-08,-0.008667203970909101,0.1424963676238288,0.03404896124320824
2022-04-12,-0.00942750104618416,0.14504368171151857,0.03535623086485243
2022-04-13,-0.009566294794070875,0.14448513833896454,0.03480523850031377
2022-04-14,-0.011029030671362681,0.14447480486701184,0.035857240559414805
2022-04-20,-0.01185057860668036,0.1381645705707717,0.035137004020699095
2022-04-21,-0.012279515684784777,0.13666340520160103,0.034635951172242926
2022-04-22,-0.020167439592502667,0.14295494051903895,0.028736864738660058
2022-04-26,-0.02077577291135078,0.14466794936453187,0.030096602599676996
2022-04-27,-0.020891455979884937,0.1440174628987793,0.0336900104206404
2022-04-28,-0.020813510837793,0.1434144292167229,0.03430453263865578
2022-04-29,-0.02250775917709729,0.14300586372828591,0.03625473029263558
2022-05-03,-0.02331218941481708,0.14305721393682688,
2022-05-04,-0.01974175722737532,0.14318681520046753,0.03574167022219181
2022-05-05,-0.01774812191207452,0.14363147856264882,0.036292682415185414
2022-05-06,-0.027488302799424262,0.13477527849333285,0.03345986611411422
2022-05-10,,0.13523657602634562,
2022-05-11,-0.02534422920619721,0.13583956101215883,0.035415195979906965
2022-05-12,-0.021335488922490313,0.13509469247431272,0.035856847206266286
2022-05-13,-0.02967063443238635,0.13724588597237536,0.02794228755585215
2022-05-17,-0.02980291508815268,0.1382352290664628,0.027187643577445672
2022-05-18,-0.03225467733305993,0.13529623434404134,0.029175581251781785
2022-05-19,-0.03207915894935603,0.1339995699083235,0.024118019762980468
2022-05-20,-0.03213200051428016,0.13216009086242478,0.02238186817918201
2022-05-24,-0.03205251081834335,0.13075179066260165,0.026596349821770247
2022-05-25,-0.03324740367500185,0.1290747283691604,0.018186490888456336
2022-05-26,,0.12819508384291675,
2022-05-27,,0.12724797299348803,
2022-05-31,-0.03403273195062402,0.12926000363414958,0.016562619334607794
2022-06-01,-0.03431858266888336,0.12870913961708108,0.016825389367553383
2022-06-02,-0.03494393455860576,0.12806837358584489,
2022-06-03,-0.03575759820190039,0.12870855074551024,
2022-06-07,,0.1292304399850145,
2022-06-08,-0.03582451857306529,0.12926947418144352,0.018330130085414408
2022-06-09,-0.03790437563580268,0.12785582710365392,0.007148098912431618
2022-06-10,-0.03685586034917326,0.12164819047783638,-0.01120504200451585
2022-06-14,-0.035549059882624176,0.12186153345876335,-0.00973465971038334
2022-06-15,-0.03760442477355131,0.12197767044038554,-0.02081446270112797
2022-06-16,-0.035446701597567666,0.13306044044445847,-0.01912717458151126
2022-06-17,-0.03530386101895292,0.13252964889467012,-0.020800760985179717
2022-06-21,-0.03879891323266001,0.13523846365734757,-0.02185283876024625
2022-06-22,-0.04052533075200108,0.13523108032432585,-0.02299048339653863
2022-06-23,,0.13077139090481768,
2022-06-24,,0.12616690642030975,
2022-06-28,-0.041056175509035606,0.12658948964259134,-0.024135246861631387
2022-06-29,-0.04088248299117802,0.1277228439536083,-0.02315026609262693
2022-06-30,-0.0446106384529006,0.12937377999979927,-0.023051065747371396
2022-07-01,-0.04739325055054359,0.12706541184151818,-0.023343409209738226
2022-07-05,-0.0488919311125717,0.12564612236172476,-0.02406510001886357
2022-07-06,-0.047361144710875935,0.12781667425013976,-0.03178249289459143
2022-07-07,-0.05232088656704108,0.12954764125154283,-0.03419768918721789
2022-07-08,-0.05233581669411457,0.1305103663079181,-0.03204213925793738
2022-07-12,-0.05246205998174267,0.12996990607925707,-0.0343736821124708
2022-07-13,-0.05115243567559597,0.12767118228424126,-0.03663682657561122
2022-07-14,-0.05239556938406956,0.12572872888250713,-0.038136839385188886
2022-07-15,-0.05684043280445414,0.1257021068619174,-0.03725128515627885
2022-07-19,-0.05716866388049072,0.1256430622499565,-0.041122175759076514
2022-07-20,-0.05743510592891056,0.1259664998328609,-0.04536173928341783
2022-07-21,-0.05761995872116869,0.12543471966421701,-0.04694777821361748
2022-07-22,-0.058523430894019554,0.12338000057324361,-0.04988918193270163
2022-07-26,-0.05963951937542713,0.12354215269340654,-0.05204118346813831
2022-07-27,-0.05932303769006308,0.12458807607462483,-0.05150488768467607
2022-07-28,-0.062317272992248145,0.12163944840457885,-0.05084040023896625
2022-07-29,-0.06385321664527789,0.12355442746210159,-0.04797286251747463
2022-08-02,-0.06324496813375295,0.12332486658535141,
2022-08-03,-0.06469024570658431,0.12260947038350475,-0.050183307217849006
2022-08-04,-0.06509253805665749,0.12273317669540619,-0.05002019450597547
2022-08-05,-0.06119010945802586,0.12203836742659371,-0.04984841737502494
2022-08-09,-0.06257116186310181,0.12457403445274423,-0.05346141833753615
2022-08-10,-0.06451960810382908,0.12479526497651046,-0.05507134232793157
2022-08-11,-0.06476050574097296,0.12491745035016288,-0.05564352922685666
2022-08-12,-0.06508040638173174,0.12653922899648393,-0.058293981533139104
2022-08-16,,0.1267387958252783,
2022-08-17,-0.06452260018498905,0.12713296598919657,-0.05909260380361632
2022-08-18,-0.0638895269646418,0.12672250074944913,-0.06052952147764394
2022-08-19,-0.06631175377939376,0.12713903183899636,-0.05669305612464368
2022-08-23,-0.06767871181326367,0.12589560270381084,-0.058805485086852675
2022-08-24,-0.06861917872206043,0.12582628334181267,-0.058923822753700984
2022-08-25,-0.0679423497279055,0.1256185468713203,-0.059388073667250955
2022-08-26,-0.06881738348393279,0.12666234753214892,-0.05899451126575757
2022-08-30,-0.06812431124334133,0.12394624456341101,
2022-08-31,-0.06774359850251159,0.12295229407709628,-0.0562309198944135
2022-09-01,-0.06818360001320938,0.1227316854792372,-0.05528766981351649
2022-09-02,-0.06814422903072348,0.1241892058890701,-0.0545749164344371
2022-09-06,-0.0681885892751119,0.12534914662762792,-0.05478699315120697
2022-09-07,-0.06857831962820882,0.12395311853978887,-0.05475022903835614
2022-09-08,-0.06860310445990325,0.12526707017002386,-0.05562460782073083
2022-09-09,-0.06859278782313205,0.12585194859413115,-0.05635459465987074
2022-09-13,-0.06753023926952474,0.12068160790345568,-0.062383718576784854
2022-09-14,-0.0665350816044042,0.1208634647817702,-0.06347544636721286
2022-09-15,-0.06700783182397578,0.12125168356974111,-0.061652911981102114
2022-09-16,-0.0658785569880342,0.12277757294948824,-0.05902603122481783
2022-09-20,-0.06665438520955527,0.12176782367686269,
2022-09-21,-0.06571360272665788,0.12042579761446141,-0.056332131826933994
2022-09-22,-0.06549727970522795,0.11710019115995514,-0.06115894116714743
2022-09-23,-0.06647907496368122,0.11907913582243716,-0.06767821951407181
2022-09-27,-0.06625425322430914,0.1174944526871894,-0.07024992300355365
2022-09-28,-0.06660227756547302,0.11627282612877303,-0.07436508641200354
2022-09-29,-0.06458667047020819,0.11683896313510811,-0.08145048273855672
2022-09-30,-0.06348315091692677,0.11547945945001274,-0.08634273390001473
2022-10-04,-0.06335908917235272,0.1145305208821981,-0.08809741443220871
2022-10-05,-0.06449318221700782,0.11380693994304061,-0.08794473670000538
2022-10-06,-0.06450778955403026,0.11479840809311116,-0.08871843832779869
2022-10-07,-0.06444987299111483,0.11306658210688741,-0.08522916150887931
2022-10-11,-0.06392546727307852,0.11334909910274207,-0.08684679844023309
2022-10-12,-0.06401400083712423,0.11284929315339866,-0.08995808967583233
2022-10-13,-0.06442347210425658,0.11193462088754103,-0.09080545860360467
2022-10-14,-0.06339148762333788,0.11206288365533895,-0.09110567495469958
2022-10-18,-0.06424684783262236,0.11204722379479737,-0.09177066628456829
2022-10-19,-0.062608880668592,0.1118060594417972,-0.09181097095180912
2022-10-20,-0.06317046238666882,0.11162705766320674,-0.09387497081484736
2022-10-21,-0.0629906821257813,0.11144069147248456,-0.09254294597895996
2022-10-25,-0.06385234522562552,0.11263675600821482,-0.09557816460460816
2022-10-26,-0.06413340529473809,0.11215349914364225,-0.09772784510886506
2022-10-27,-0.06313372972707644,0.11161542620966851,-0.0970039861140287
2022-10-28,-0.06359198793332381,0.1113280535914336,-0.09828474202432128
2022-11-01,,0.11195128065783738,
2022-11-02,,0.1123884025150645,
2022-11-03,-0.06364935203968829,0.10981425867144357,-0.09651047407790041
2022-11-04,-0.06391369276875744,0.10895243250327515,-0.09464441985090082
2022-11-08,-0.06576282674014114,0.10853607962057683,-0.09510950985267365
2022-11-09,-0.06673433996580518,0.10829476753367039,-0.09430479635677418
2022-11-10,-0.06564508836737205,0.10299564450960742,-0.09608795423598493
2022-11-11,-0.06553747846817377,0.10270938585690254,-0.09119506040809351
2022-11-15,-0.06444032614959119,0.10285281384322885,-0.0901071806286871
2022-11-16,-0.06500210196379162,0.1027030312506045,-0.09110517090588158
2022-11-17,-0.0646083781676195,0.10304099572300707,-0.09019860146983293
2022-11-18,-0.06310537826917699,0.10264782763377389,-0.0908558210689038
2022-11-22,-0.06326131455671315,0.1024886693970512,-0.09211223493293484
2022-11-23,-0.06335909571702039,0.10213849652212878,-0.09251618409607155
2022-11-24,-0.0626728035539067,0.1011430189876122,-0.09217022004016893
2022-11-25,-0.06296724626518332,0.10020167948964996,-0.09183132238053815
2022-11-29,-0.06296552091459785,0.10047117267389136,-0.09287115698927761
2022-11-30,-0.06259953460966164,0.10159298721589656,-0.09491455809592457
2022-12-01,-0.05820199502469052,0.10112377595183052,-0.09540733371078633
2022-12-02,-0.05769000821204888,0.10156381248580809,-0.09417475053568963
2022-12-06,-0.057603068092686324,0.10170486570055215,-0.09326605650363412
2022-12-07,-0.05751115776547487,0.10202336384676555,-0.09240986930913273
2022-12-08,-0.0574736746045589,0.10379680359399404,-0.09346709195108378
2022-12-09,-0.057444360444783085,0.10310785414640757,-0.09377517326553324
2022-12-13,-0.05525452445926056,0.10306986997056035,-0.09730975165292322
2022-12-14,-0.055285802814492774,0.1032874815744672,-0.09729470030917704
2022-12-15,-0.04549494906296242,0.10225154061012795,-0.09379072535244833
2022-12-16,-0.04704751602278289,0.10165298357729974,-0.0941059052322043
2022-12-20,-0.048770165063282515,0.1005984890415362,-0.0961737974178958
2022-12-21,-0.04579843912047943,0.10148702524515889,-0.0947000851715225
2022-12-22,-0.04540719185961137,0.10078354726152962,-0.09381326678286661
2022-12-23,-0.04540359724127058,0.09996435904629854,-0.09388500328783284
2022-12-28,-0.04575784637656264,0.09795612303484723,
2022-12-29,-0.047528432595212666,0.09783441193680707,
2022-12-30,-0.048926677037921175,0.0969607245725441,-0.09401332923524393
2023-01-03,-0.04868098387055407,0.09706506932987508,
2023-01-04,-0.04721628723530126,0.0978928882610322,-0.09438637876536154
2023-01-05,-0.04712045687940632,0.0972824765122208,-0.09281518047570347
2023-01-06,-0.04706357397347522,0.09700486134208681,-0.09575028600950684
2023-01-10,-0.046584137491208086,0.09823040865114657,-0.09483234857556604
2023-01-11,-0.04442346464444341,0.09850368513206598,-0.09685852664582574
2023-01-12,-0.04408907035444828,0.09864041334786351,-0.09717403819621967
2023-01-13,-0.043281980233040064,0.09815736698389323,-0.09734776120640676
2023-01-17,-0.04468110511089698,0.09800684141575962,-0.0964315284815395
2023-01-18,-0.042617664363858346,0.0980395733526107,-0.09669523073802444
2023-01-19,-0.04176779188554179,0.09806638235691563,-0.0976504783254186
2023-01-20,-0.043348591025320925,0.0975356357496756,-0.09893527981126189
2023-01-24,-0.04324243896682779,0.09762738611472478,-0.09939634479517727
2023-01-25,-0.04336167676460212,0.09895332064001394,-0.10026283183309864
2023-01-26,-0.04225701876540438,0.10007804819465244,-0.10000292699954276
2023-01-27,-0.04190632591008273,0.09974608453446909,-0.10005124500770904
2023-01-31,-0.04193880371205083,0.0994964326984503,-0.1000226200474196
2023-02-01,-0.04203532724653266,0.09961625047396189,-0.0995271808334968
2023-02-02,-0.03861474171174898,0.09389926401916991,-0.10389363416851564
2023-02-03,-0.037089926233570054,0.09163553442768485,-0.10564702031828559
2023-02-07,-0.03696076885661581,0.09142792790489962,
2023-02-08,-0.036909635197802174,0.09088429843631544,-0.10738514354746011
2023-02-09,-0.03691918613624514,0.09001274448259584,-0.10597802784262712
2023-02-10,-0.03670542707630486,0.08717158561039454,-0.10587167950120437
2023-02-14,-0.03941367573477124,0.08619347941194888,-0.10551806977455258
2023-02-15,-0.03867250487599427,0.08617776375713761,-0.1082916199950464
2023-02-16,-0.03866777840869585,0.08661675493450217,-0.10820709681395071
2023-02-17,-0.03870386403038335,0.08588871184209228,-0.1035027823389384
2023-02-21,-0.038966445590889076,0.08452214293549004,-0.10637122105267251
2023-02-22,-0.0392256552995696,0.08297857559995496,-0.10642839861894553
2023-02-23,-0.03896390806977551,0.08302474120587176,-0.1088589738204234
2023-02-24,-0.03881491121397955,0.0818625966708585,-0.10577647382503295
2023-02-28,-0.03840105140264024,0.08299263762094734,-0.10439327249445868
2023-03-01,-0.04118281456564606,0.08281713204106352,-0.10253977595541636
2023-03-02,-0.04147011447172159,0.08244729041030434,-0.10238250842977654
2023-03-03,-0.04126218298990447,0.08179359222609241,-0.10178411716601068
2023-03-07,-0.04211000781363823,0.08180142662632237,-0.10201346274246949
2023-03-08,-0.04053943776121068,0.08566315249298455,-0.10172072434519909
2023-03-09,-0.04130969155474137,0.08548423529067414,-0.1025012318326071
2023-03-10,-0.043270828763759796,0.08360678770372983,-0.10191061482388894
2023-03-14,-0.043196407006206555,0.0826583827492619,-0.10207889271157333
2023-03-15,-0.0467543768667379,0.08027842933919027,-0.09879286101892946
2023-03-16,-0.04668247546972057,0.08030522022685345,-0.0992904938108798
2023-03-17,-0.04718503294757374,0.08074596176019948,
2023-03-21,-0.04751995146883674,0.08057256906590643,-0.0993657696213665
2023-03-22,-0.04769726261643757,0.08036187387527662,-0.09886500433371978
2023-03-23,-0.04711312094576892,0.07956561229177414,-0.09655062923706137
2023-03-24,-0.04702316430008896,0.0784674259422613,-0.09624584531084215
2023-03-28,-0.0489261844134131,0.0791653376612342,-0.09639950661093215
2023-03-29,-0.045118108025657945,0.0815687001318263,-0.09798977093465493
2023-03-30,-0.0459821943229112,0.08249986910707614,-0.09639182512701694
2023-03-31,-0.045117322473848705,0.07813251076894238,-0.09519217405326699
2023-04-04,-0.04556648564592346,0.07865900825920354,-0.09454225180333214
2023-04-05,-0.044549319417962,0.07810385955679927,-0.09411243537191996
2023-04-06,-0.04456865613556271,0.07982361026403785,-0.09553757061862705
2023-04-12,-0.044428363142633855,0.07977900297157557,-0.09559220909706027
2023-04-13,-0.0445160296745077,0.07927197890643739,-0.09629559621423667
2023-04-14,-0.044659307483622915,0.07960827842080159,-0.09463473410246202
2023-04-18,-0.04610855002950169,0.07762625446624793,-0.09406102084538233
2023-04-19,-0.04561074930935605,0.07588733185227177,-0.09491976639837182
2023-04-20,-0.04585425408604205,0.07069562398667288,-0.09518727369131957
2023-04-21,-0.04581499540294315,0.07027980097382834,-0.09591661049676524
2023-04-25,-0.046531353910295926,0.06924977742847817,-0.09525921779612007
2023-04-26,-0.0469265306998946,0.06720883161720444,-0.0966492623222217
2023-04-27,-0.047475271049944874,0.06771052501038288,-0.10028208902743693
2023-04-28,-0.046285698597027206,0.07197938596804494,-0.10533946778428138
2023-05-03,-0.046833920190623976,0.07092082200412145,-0.10597976196826178
2023-05-04,-0.0477238261983421,0.07103482417931818,-0.10564075615813569
2023-05-05,-0.04716033278999153,0.07167484665873448,-0.1052215629883414
2023-05-09,,0.07288893370668408,
2023-05-10,,0.07368031764859091,
2023-05-11,-0.048816651087248,0.07407522063261032,-0.10454994943619682
2023-05-12,-0.05030966157514853,0.07382171120201793,-0.10478423710850783
2023-05-16,-0.05223372899931935,0.0732385052733995,-0.1024647934491169
2023-05-17,-0.052002103320298844,0.07136118692770262,-0.1035080280401458
2023-05-18,,0.07156565253996887,
2023-05-19,,0.07118021600939838,
2023-05-23,-0.052060260957144895,0.06660211664830917,-0.1022940722592319
2023-05-24,-0.055999562624221094,0.054010179500753826,-0.101835588751892
2023-05-25,-0.057213320439763654,0.05774819064252433,-0.10177468129317914
2023-05-26,-0.056663024063136926,0.056583094175746224,-0.10722077278750859
2023-05-30,,0.05572730075633095,
2023-05-31,-0.05814928800970102,0.05427490005353497,-0.10839526327222974
2023-06-01,-0.05716291557264216,0.06561700982972883,-0.10835876269909699
2023-06-02,-0.05793797998724695,0.06458759492640566,-0.10741765860133436
2023-06-06,-0.056845559770432576,0.06103335490874802,
2023-06-07,-0.056357695051266254,0.06211065665568589,-0.10950068844159354
2023-06-08,-0.05645258404793935,0.06417598349296275,-0.10900877651218849
2023-06-09,-0.05425378126276797,0.05672898102930417,-0.11194067632431642
2023-06-13,-0.05417897239540573,0.05633685506755029,-0.11320639829219628
2023-06-14,-0.05226714734833717,0.055425211392442476,-0.11217456832995662
2023-06-15,-0.05708730304294714,0.0554508381686267,-0.11152648759688566
2023-06-16,-0.05080412029165498,0.0559491851815754,-0.11063875300590804
2023-06-20,-0.05026935372858058,0.056029167899777625,-0.10945783188939896
2023-06-21,-0.049932175368323665,0.05643217053843355,-0.11024201330614766
2023-06-22,-0.05003871260501673,0.0534976259641238,-0.11126595218062188
2023-06-23,,0.05239255016876183,
2023-06-27,-0.04958079927912268,0.052791326578183834,-0.10952117719399626
2023-06-28,-0.05371464188276581,0.05227508199787021,-0.10794633246482721
2023-06-29,-0.05297321535761251,0.051325674766092275,-0.10873874066956282
2023-06-30,-0.051010247166947506,0.04852151127235582,-0.10923772192775916
2023-07-04,-0.05182731818135932,0.047524517815641966,-0.10908014561407384
2023-07-05,-0.049543435134063604,0.04893888624440662,-0.10855920716781849
2023-07-06,-0.04402001969051015,0.04855896914495081,-0.11070985276662743
2023-07-07,-0.04442259206271967,0.04883435287340708,-0.11092715735973434
2023-07-11,-0.04406478349392565,0.04944935112075047,-0.11015217973931436
2023-07-12,-0.0448149581985345,0.05047387925056592,-0.10748624764070992
2023-07-13,-0.043913224213156764,0.05140625033815158,-0.11525617837792715
2023-07-14,-0.044022539191827,0.05270917792458391,-0.114111874968568
2023-07-18,-0.04327970321029167,0.05362235231272968,-0.11847774939329002
2023-07-19,-0.04100412903741959,0.05380738799974154,-0.11834814215884698
2023-07-20,-0.040811440276334536,0.05390250022993511,-0.11698139936277804
2023-07-21,-0.040763837642636934,0.053695667587887005,-0.11851930847353112
2023-07-25,-0.0401055068772095,0.05358002517322594,-0.1207896527353793
2023-07-26,-0.03958985505977042,0.052312875044954424,-0.11752070845974522
2023-07-27,-0.036704111532230736,0.04957699883944848,-0.12628602958855384
2023-07-28,-0.036581144860787784,0.055216636161502665,-0.12558055409250618
2023-08-01,-0.037496904971771765,0.05549568960601672,-0.13119706640717113
2023-08-02,-0.036614562511775375,0.05680148662207914,-0.1336684647135791
2023-08-03,-0.036635650220313336,0.05609291605991813,-0.13390553511338982
2023-08-04,-0.036837031279481236,0.05309047293910863,-0.1337944375060599
2023-08-08,-0.03738912630980868,0.05265326937519167,
2023-08-09,-0.03692154861384395,0.05462950156948203,-0.13438496181877563
2023-08-10,-0.03175247724389779,0.056753353650000476,-0.13522236929574166
2023-08-11,-0.031393672622693256,0.05905082412648238,-0.13372569647088564
2023-08-15,,0.05861027609017545,
2023-08-16,,0.060217450946801615,
2023-08-17,-0.03152929922539178,0.05723961537520398,-0.1338981958455649
2023-08-18,-0.031389938545052405,0.05689226264832437,-0.13319377055602732
2023-08-22,-0.029494577052320153,0.05143058879220833,-0.1307669941512788
2023-08-23,-0.02756980191974675,0.05104702661848183,-0.12685525209955517
2023-08-24,-0.02954644760439572,0.05086724623261697,-0.12717920751600104
2023-08-25,-0.029668135563162265,0.05061402047130385,-0.1285879910137017
2023-08-29,-0.026846975061448394,0.050058821279064275,
2023-08-30,-0.028734650385129797,0.05106090213628909,-0.12944003635786275
2023-08-31,-0.02958693356943862,0.04890324689975804,-0.1270795086094817
2023-09-01,-0.026780937708729653,0.05054586264030616,-0.1283416186688837
2023-09-05,-0.026691747819052446,0.05030549281939393,-0.12887135530285562
2023-09-06,-0.024253738380454287,0.051131118030232216,-0.1293678555587846
2023-09-07,-0.025271665113514814,0.034424314884534575,-0.12801758856290565
2023-09-08,-0.025086514658443474,0.035280783076908594,-0.12843346650603835
2023-09-12,-0.025055685996834918,0.03177925446575231,-0.1323013174500595
2023-09-13,-0.025364535898824824,0.03170766135578732,-0.13272172334142301
2023-09-14,-0.02196779444928265,0.039457963168351984,-0.13091854785965015
2023-09-15,-0.023354499200322624,0.04405625928447518,-0.1302645893734887
2023-09-19,-0.02409160756404033,0.04395319201898008,-0.13063470855164258
2023-09-20,-0.0254331455220231,0.043526166967793725,-0.13013195745773753
2023-09-21,-0.025284968325287864,0.04297728428827988,-0.1304545983012905
2023-09-22,-0.026352187464817406,0.04557706991936033,-0.1315685163729904
2023-09-26,-0.02501186929777461,0.04807668809509816,-0.1321878269888676
2023-09-27,-0.022463571051623825,0.04369895813608824,-0.13287817154341558
2023-09-28,-0.021890515980691604,0.03806931431222725,-0.1335527522013738
2023-09-29,-0.025975057379523592,0.038134517512514204,-0.13020874244059297
2023-10-03,-0.02230012119724247,0.041482268763934585,-0.12612477764309835
2023-10-04,-0.020308506188280603,0.042224661487409734,-0.1323804804496057
2023-10-05,-0.019741231771395563,0.04311307454705396,-0.1345131888184692
2023-10-06,-0.018031993963762764,0.0420007027675551,-0.1328984821529272
2023-10-10,-0.015672374580949694,0.04380102991888758,-0.1331440891457282
2023-10-11,-0.015869249527880647,0.04225112171967629,-0.1336512137916569
2023-10-12,-0.01246077874956873,0.04176297279169537,-0.1340254107346634
2023-10-13,-0.011148919882549804,0.04481968108911605,-0.12340496013485996
2023-10-17,-0.012371676340022668,0.04447879438545678,-0.12189643325869336
2023-10-18,-0.006784098222577821,0.04220111335257021,-0.11613122125901372
2023-10-19,-0.004449640892338682,0.04032614636254655,-0.12154568136651271
2023-10-20,-0.003646928577656187,0.037935450359971715,-0.12217054727545044
2023-10-24,-0.006072206097098991,0.03755647120105175,-0.11992754406396955
2023-10-25,-0.0054084224373585205,0.039555672093469545,-0.1203955650136078
2023-10-26,0.0038877114366506465,0.0383837468361124,-0.1183851881374963
2023-10-27,0.0024674507508243826,0.039517006715677025,-0.12216433685420285
2023-10-31,0.0017883265946239027,0.038200479933566144,
2023-11-01,,0.037158580703150035,
2023-11-02,,0.03890716054075275,
2023-11-03,-0.00037011989386278807,0.03782913150229247,-0.12282183704981067
2023-11-07,0.0012846502747035377,0.03630297743564567,-0.12055191929542247
2023-11-08,0.001911273797161715,0.03417955533158338,-0.12135909868852708
2023-11-09,0.001509940110072556,0.03343317123231967,-0.1178272614226662
2023-11-10,0.005909251711258469,0.033792682830703386,-0.11911103398516702
2023-11-14,0.006270377696991439,0.035830124547159614,-0.12039530236492155
2023-11-15,0.005882993830944934,0.03611798556591183,-0.12027519939208163
2023-11-16,0.008591291058307672,0.036140220717918926,-0.11840540293308803
2023-11-17,0.008344843186737276,0.03299425631223174,-0.11693952528215235
2023-11-21,0.004921324252421096,0.035293566313336064,-0.12077665018537147
2023-11-22,0.005751691381122288,0.03529751386087441,-0.1230914814230451
2023-11-23,0.010207392036380972,0.03510017634817264,-0.12386430012194977
2023-11-24,0.010889002607765333,0.03144942263971518,-0.1222446764316461
2023-11-28,0.011723571757189508,0.03188073115087117,-0.11905613338678565
